Base SKU,Assigned To Handles/Sizes,Total Variants
G09V1WHTXL,"organic-bamboo-women-oversized-hoodie-white (size XL); organic-bamboo-men-oversized-hoodie-white (size XL)",2
G09V1TAUPXS,"organic-bamboo-women-oversized-hoodie-taupe (size XS); organic-bamboo-men-oversized-hoodie-taupe (size XS)",2
G09V1TAUPS,"organic-bamboo-women-oversized-hoodie-taupe (size S); organic-bamboo-men-oversized-hoodie-taupe (size S)",2
G09V1TAUPM,"organic-bamboo-women-oversized-hoodie-taupe (size M); organic-bamboo-men-oversized-hoodie-taupe (size M)",2
G09V1TAUPL,"organic-bamboo-women-oversized-hoodie-taupe (size L); organic-bamboo-men-oversized-hoodie-taupe (size L)",2
G09V1TAUPXL,"organic-bamboo-women-oversized-hoodie-taupe (size XL); organic-bamboo-men-oversized-hoodie-taupe (size XL)",2
G09V1SGXS,"organic-bamboo-women-oversized-hoodie-sage-green (size XS); organic-bamboo-men-oversized-hoodie-sage-green (size XS)",2
G09V1SGS,"organic-bamboo-women-oversized-hoodie-sage-green (size S); organic-bamboo-men-oversized-hoodie-sage-green (size S)",2
G09V1SGM,"organic-bamboo-women-oversized-hoodie-sage-green (size M); organic-bamboo-men-oversized-hoodie-sage-green (size M)",2
G09V1SGL,"organic-bamboo-women-oversized-hoodie-sage-green (size L); organic-bamboo-men-oversized-hoodie-sage-green (size L)",2
G09V1SGXL,"organic-bamboo-women-oversized-hoodie-sage-green (size XL); organic-bamboo-men-oversized-hoodie-sage-green (size XL)",2
G09V1REDXS,"organic-bamboo-women-oversized-hoodie-red (size XS); organic-bamboo-men-oversized-hoodie-red (size XS)",2
G09V1REDS,"organic-bamboo-women-oversized-hoodie-red (size S); organic-bamboo-men-oversized-hoodie-red (size S)",2
G09V1REDM,"organic-bamboo-women-oversized-hoodie-red (size M); organic-bamboo-men-oversized-hoodie-red (size M)",2
G09V1REDL,"organic-bamboo-women-oversized-hoodie-red (size L); organic-bamboo-men-oversized-hoodie-red (size L)",2
G09V1REDXL,"organic-bamboo-women-oversized-hoodie-red (size XL); organic-bamboo-men-oversized-hoodie-red (size XL)",2
G09V1PNKXS,"organic-bamboo-women-oversized-hoodie-pink (size XS); organic-bamboo-men-oversized-hoodie-pink (size XS)",2
G09V1PNKS,"organic-bamboo-women-oversized-hoodie-pink (size S); organic-bamboo-men-oversized-hoodie-pink (size S)",2
G09V1PNKM,"organic-bamboo-women-oversized-hoodie-pink (size M); organic-bamboo-men-oversized-hoodie-pink (size M)",2
G09V1PNKL,"organic-bamboo-women-oversized-hoodie-pink (size L); organic-bamboo-men-oversized-hoodie-pink (size L)",2
G09V1PNKXL,"organic-bamboo-women-oversized-hoodie-pink (size XL); organic-bamboo-men-oversized-hoodie-pink (size XL)",2
G09V1PLXS,"organic-bamboo-women-oversized-hoodie-pale-lavender (size XS); organic-bamboo-men-oversized-hoodie-pale-lavender (size XS)",2
G09V1PLS,"organic-bamboo-women-oversized-hoodie-pale-lavender (size S); organic-bamboo-men-oversized-hoodie-pale-lavender (size S)",2
